Region,Country,Location,Course,Play,Type,Date,NumberHoles,Architect,Budget,Budget2,Construction,ETA,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,InstaCaption,Acres,Comments,YouTubeCaption,Twitter,TwitterCaption
N America,USA,Wisconsin,Sand Valley Commons,Holiday,Member,2025,,Jimmy Craig,,,,,,New,Construction,,,2023-10-07,44.171728,-89.857699,https://sandvalley.com/golf-courses,,,,,,,,
N America,USA,Wisconsin,Sand Valley Lido,Holiday,Member,2023,,Tom Doak Brian Schneider Brian Slawnik,,,Oliphant,,,New,Open,,CB Macdonald,2023-07-01,44.171728,-89.857699,https://thelido.com,hq7Zl82hkFY,,,,,Peter Flory,jeffkmarsh/status/1658187969604247573,Channel Hole
N America,USA,Wisconsin,Sedge Valley,Holiday,Member,2024,,Tom Doak,,,,ETA May 2024,,New,Preview,,,2023-09-26,44.1737425,-89.8565406,https://sandvalley.com/sedge-valley,nuCV7q4brek,,,,,Heathland,the_fried_egg/status/1686475890715394049,Par 68
N America,USA,Simulator,TGL,Holiday,Public,2025,13,Agustín Pizá,,,,,,New,Design,,,2023-12-09,27.035989,-80.041037,https://tglgolf.com,,,,,,,arqpiza/status/1732419183957213255,TMRW Sports
N America,Canada,Alberta,Lakewood Golf Resort,Holiday,Public,2024,,Darcy Carruthers,,,,ETA April 2024,,New,Construction,,Sid Puddicombe,2023-11-11,52.3332137,-114.0587286,https://fescue.github.io/Lakewood-Golf-Resort/,,,,,New 9,,,
N America,Canada,Brit Columbia,Cabot Pacific,Holiday,,2025,,Whitman Cutten,,,Old World Golf Company,,,New,Construction,,,2023-08-30,51.008745,-118.33536,https://cabotrevelstoke.com,,cabotrevelstoke,Cabot,,Dan Philcox,,beyondcontour/status/1687143102744600577,Andrew Harris
N America,Canada,Nova Scotia,Fox Harb'r (Ocean),Holiday,Public,2025,,Carrick Mcbroom,,,KCM,,,New,Construction,,,2023-07-01,45.859837,-63.4544468,https://fescue.github.io/Fox-Resort-Nova-Scotia/,,,,,,,YoungerGolf/status/1685271078673780737,Rick Young
N America,Canada,Quebec,Golf La Tempête,Once,Member,2023,,Huxham,$10M,,,,,New,Open,,,2023-06-13,46.6755369,-71.2176733,https://fescue.github.io/Golf-La-Temp%C3%AAte/,nMThyJb8KP8,golflatempete,golflatempete,,,Andre Raymond,,
Africa,Egypt,Cairo,Porto Cairo,Holiday,Public,2025,9,Ritson,,,,,,New,Drawing boards ,,,2022-12-19,30.0546456,31.658779,https://portodevelopments.com/en/Project/Golf-Porto-Cairo,,,,,,,GreenTygerD/status/1281875418337943554,PR
Africa,Egypt,Cairo,Somabay,Holiday,Public,2025,,Tim Lobb,,,,,,New,Construction,,,2023-06-19,26.7342848,34.0006773, https://fescue.github.io/Somabay-Golf-Resort/,5l9PTphGnac,,,,,Tim Lobb,LOBBandPARTNERS/status/1571034406130941954,Soma Bay
Africa,Mauritius,Domaine Bel Ombre,La Reserve Golf Links,Holiday,Public,2023,36,Peter Matkovich Louis Oosthuizen,,,,,,New,Open,,,2023-11-28,-20.4862359,57.3875944,https://fescue.github.io/Heritage-Resorts-Mauritius/,kHg3DWgJb28,,,,Heritage GC,Skyline Green,,
Africa,South Africa,Durban,Zimbali Lakes,Holiday,Public,2024,,Robert McLean,,,,ETA Dec 2024,,New,Construction,,,2023-11-22,-29.5502499,31.1823885,https://zimbalilakes.co.za/,AAwzWwYGWk8,,,,,Golf Destination,,
